AIRPORT,Year,Month,Int_Pax_In,Int_Pax_Out,Int_Pax_Total,Date
ADELAIDE,2007,4,17956,20398,38354,2007-04-01T00:00:00
ADELAIDE,2007,5,14657,17770,32427,2007-05-01T00:00:00
ADELAIDE,2007,6,17277,18186,35463,2007-06-01T00:00:00
ADELAIDE,2007,7,21235,18685,39920,2007-07-01T00:00:00
ADELAIDE,2007,8,18744,17726,36470,2007-08-01T00:00:00
ADELAIDE,2007,9,18979,18782,37761,2007-09-01T00:00:00
ADELAIDE,2007,10,22764,16099,38863,2007-10-01T00:00:00
ADELAIDE,2007,11,20060,18046,38106,2007-11-01T00:00:00
ADELAIDE,2007,12,20782,24156,44938,2007-12-01T00:00:00
ADELAIDE,2008,1,25056,20073,45129,2008-01-01T00:00:00
ADELAIDE,2008,2,21507,15549,37056,2008-02-01T00:00:00
ADELAIDE,2008,3,21218,19282,40500,2008-03-01T00:00:00
ADELAIDE,2008,4,19019,21367,40386,2008-04-01T00:00:00
ADELAIDE,2008,5,17470,19098,36568,2008-05-01T00:00:00
ADELAIDE,2008,6,17653,17991,35644,2008-06-01T00:00:00
ADELAIDE,2008,7,22705,19301,42006,2008-07-01T00:00:00
ADELAIDE,2008,8,20289,19088,39377,2008-08-01T00:00:00
ADELAIDE,2008,9,20161,19772,39933,2008-09-01T00:00:00
ADELAIDE,2008,10,24131,17330,41461,2008-10-01T00:00:00
ADELAIDE,2008,11,20339,18220,38559,2008-11-01T00:00:00
ADELAIDE,2008,12,19827,23233,43060,2008-12-01T00:00:00
ADELAIDE,2009,1,25145,19968,45113,2009-01-01T00:00:00
ADELAIDE,2009,2,21389,14795,36184,2009-02-01T00:00:00
ADELAIDE,2009,3,19466,18154,37620,2009-03-01T00:00:00
ADELAIDE,2009,4,20087,21353,41440,2009-04-01T00:00:00
ADELAIDE,2009,5,17085,19321,36406,2009-05-01T00:00:00
ADELAIDE,2009,6,17680,19449,37129,2009-06-01T00:00:00
ADELAIDE,2009,7,24152,21200,45352,2009-07-01T00:00:00
ADELAIDE,2009,8,20859,19768,40627,2009-08-01T00:00:00
ADELAIDE,2009,9,22039,22699,44738,2009-09-01T00:00:00
ADELAIDE,2009,10,26544,20496,47040,2009-10-01T00:00:00
ADELAIDE,2009,11,21906,21543,43449,2009-11-01T00:00:00
ADELAIDE,2009,12,21402,24899,46301,2009-12-01T00:00:00
ADELAIDE,2010,1,26569,22236,48805,2010-01-01T00:00:00
ADELAIDE,2010,2,21576,16706,38282,2010-02-01T00:00:00
ADELAIDE,2010,3,22086,20609,42695,2010-03-01T00:00:00
ADELAIDE,2010,4,22393,23027,45420,2010-04-01T00:00:00
ADELAIDE,2010,5,18231,21100,39331,2010-05-01T00:00:00
ADELAIDE,2010,6,19742,21699,41441,2010-06-01T00:00:00
ADELAIDE,2010,7,25332,21846,47178,2010-07-01T00:00:00
ADELAIDE,2010,8,21613,21756,43369,2010-08-01T00:00:00
ADELAIDE,2010,9,23201,22552,45753,2010-09-01T00:00:00
ADELAIDE,2010,10,27111,19830,46941,2010-10-01T00:00:00
ADELAIDE,2010,11,22317,21729,44046,2010-11-01T00:00:00
ADELAIDE,2010,12,23166,25965,49131,2010-12-01T00:00:00
ADELAIDE,2011,1,26556,22938,49494,2011-01-01T00:00:00
ADELAIDE,2011,2,22587,17514,40101,2011-02-01T00:00:00
ADELAIDE,2011,3,21787,21351,43138,2011-03-01T00:00:00
ADELAIDE,2011,4,22983,25799,48782,2011-04-01T00:00:00
ADELAIDE,2011,5,21287,24027,45314,2011-05-01T00:00:00
ADELAIDE,2011,6,21671,22929,44600,2011-06-01T00:00:00
ADELAIDE,2011,7,28138,25253,53391,2011-07-01T00:00:00
ADELAIDE,2011,8,25653,24324,49977,2011-08-01T00:00:00
ADELAIDE,2011,9,25906,25166,51072,2011-09-01T00:00:00
ADELAIDE,2011,10,28930,23095,52025,2011-10-01T00:00:00
ADELAIDE,2011,11,24604,23324,47928,2011-11-01T00:00:00
ADELAIDE,2011,12,26035,31216,57251,2011-12-01T00:00:00
ADELAIDE,2012,1,34486,27251,61737,2012-01-01T00:00:00
ADELAIDE,2012,2,26957,20520,47477,2012-02-01T00:00:00
