Year,Country of Stay/Residence,Origin,OBS_VALUE
1989,Argentina,Australia,2310
1989,Austria,Australia,9150
1989,Bangladesh,Australia,770
1989,Belgium,Australia,3700
1989,Brazil,Australia,2510
1989,Cambodia,Australia,40
1989,Canada,Australia,54180
1989,Chile,Australia,1670
1989,China,Australia,29050
1989,Colombia,Australia,390
1989,Denmark,Australia,10140
1989,Fiji,Australia,17520
1989,Finland,Australia,5240
1989,France,Australia,20150
1989,Germany,Australia,68060
1989,Hong Kong,Australia,54160
1989,India,Australia,10900
1989,Indonesia,Australia,28970
1989,Iran,Australia,860
1989,Ireland,Australia,12200
1989,Israel,Australia,5370
1989,Italy,Australia,20440
1989,Japan,Australia,349530
1989,Malaysia,Australia,44250
1989,Mexico,Australia,1240
1989,Nepal,Australia,290
1989,Netherlands,Australia,20120
1989,New Caledonia,Australia,13390
1989,New Zealand,Australia,449300
1989,Norway,Australia,3670
1989,Pakistan,Australia,2060
1989,Papua New Guinea,Australia,34860
1989,Philippines,Australia,10960
1989,Poland,Australia,4420
1989,Saudi Arabia,Australia,1660
1989,Singapore,Australia,65200
1989,South Africa,Australia,8010
1989,South Korea,Australia,10400
1989,Spain,Australia,3290
1989,Sri Lanka,Australia,4020
1989,Sweden,Australia,24080
1989,Switzerland,Australia,27370
1989,Taiwan,Australia,21480
1989,Thailand,Australia,17330
1989,United Arab Emirates,Australia,2040
1989,United States of America,Australia,261740
1989,Vanuatu,Australia,3010
1989,Vietnam,Australia,780
1990,Argentina,Australia,2430
1990,Austria,Australia,9610
1990,Bangladesh,Australia,580
1990,Belgium,Australia,4170
1990,Brazil,Australia,2920
1990,Cambodia,Australia,60
1990,Canada,Australia,53740
1990,Chile,Australia,1590
1990,China,Australia,23720
1990,Colombia,Australia,440
1990,Denmark,Australia,9940
1990,Fiji,Australia,16040
1990,Finland,Australia,5810
1990,France,Australia,21080
1990,Germany,Australia,74170
1990,Hong Kong,Australia,54470
1990,India,Australia,10980
1990,Indonesia,Australia,34390
1990,Iran,Australia,1320
1990,Ireland,Australia,10540
1990,Israel,Australia,5260
1990,Italy,Australia,24380
1990,Japan,Australia,479870
1990,Malaysia,Australia,46580
1990,Mexico,Australia,1680
1990,Nepal,Australia,430
1990,Netherlands,Australia,21070
1990,New Caledonia,Australia,14410
1990,New Zealand,Australia,418430
1990,Norway,Australia,4440
1990,Pakistan,Australia,1880
1990,Papua New Guinea,Australia,34550
1990,Philippines,Australia,13560
1990,Poland,Australia,3740
1990,Saudi Arabia,Australia,2200
1990,Singapore,Australia,75860
1990,South Africa,Australia,9110
1990,South Korea,Australia,14090
1990,Spain,Australia,4320
1990,Sri Lanka,Australia,3900
1990,Sweden,Australia,22030
1990,Switzerland,Australia,29450
1990,Taiwan,Australia,25290
1990,Thailand,Australia,19640
1990,United Arab Emirates,Australia,1710
1990,United States of America,Australia,251560
1990,Vanuatu,Australia,2620
1990,Vietnam,Australia,1840
1991,Argentina,Australia,2640
1991,Austria,Australia,10280
1991,Bangladesh,Australia,630
1991,Belgium,Australia,4090
1991,Brazil,Australia,2490
1991,Cambodia,Australia,20
1991,Canada,Australia,53410
1991,Chile,Australia,1290
1991,China,Australia,16420
1991,Colombia,Australia,540
1991,Denmark,Australia,9850
1991,Fiji,Australia,16770
1991,Finland,Australia,5740
1991,France,Australia,22680
1991,Germany,Australia,77700
1991,Hong Kong,Australia,62780
1991,India,Australia,9780
1991,Indonesia,Australia,36990
1991,Iran,Australia,1270
1991,Ireland,Australia,9590
1991,Israel,Australia,4840
1991,Italy,Australia,24340
1991,Japan,Australia,528570
1991,Malaysia,Australia,48030
1991,Mexico,Australia,1540
1991,Nepal,Australia,450
1991,Netherlands,Australia,21360
1991,New Caledonia,Australia,15210
1991,New Zealand,Australia,480580
1991,Norway,Australia,4080
1991,Pakistan,Australia,1300
1991,Papua New Guinea,Australia,35180
1991,Philippines,Australia,15740
1991,Poland,Australia,2160
1991,Saudi Arabia,Australia,2010
1991,Singapore,Australia,87460
1991,South Africa,Australia,9240
1991,South Korea,Australia,23610
1991,Spain,Australia,3970
1991,Sri Lanka,Australia,4080
1991,Sweden,Australia,19140
1991,Switzerland,Australia,29570
1991,Taiwan,Australia,34730
1991,Thailand,Australia,24690
1991,United Arab Emirates,Australia,1150
1991,United States of America,Australia,271750
1991,Vanuatu,Australia,2600
1991,Vietnam,Australia,2940
1992,Argentina,Australia,3100
1992,Austria,Australia,10800
1992,Bangladesh,Australia,510
1992,Belgium,Australia,4240
1992,Brazil,Australia,2480
1992,Cambodia,Australia,230
1992,Canada,Australia,48930
1992,Chile,Australia,1440
1992,China,Australia,18680
1992,Colombia,Australia,500
1992,Denmark,Australia,10360
1992,Fiji,Australia,16340
1992,Finland,Australia,5070
1992,France,Australia,25350
1992,Germany,Australia,89890
1992,Hong Kong,Australia,74740
1992,India,Australia,9600
1992,Indonesia,Australia,45850
1992,Iran,Australia,1240
1992,Ireland,Australia,8720
1992,Israel,Australia,4660
1992,Italy,Australia,27420
1992,Japan,Australia,629930
1992,Malaysia,Australia,60350
1992,Mexico,Australia,1940
1992,Nepal,Australia,320
1992,Netherlands,Australia,23550
1992,New Caledonia,Australia,17970
1992,New Zealand,Australia,447540
1992,Norway,Australia,4450
1992,Pakistan,Australia,1610
1992,Papua New Guinea,Australia,36960
1992,Philippines,Australia,16110
1992,Poland,Australia,2020
1992,Russian Federation,Australia,40
1992,Saudi Arabia,Australia,2570
1992,Singapore,Australia,116810
1992,South Africa,Australia,15260
1992,South Korea,Australia,33570
1992,Spain,Australia,4900
1992,Sri Lanka,Australia,3830
1992,Sweden,Australia,19120
1992,Switzerland,Australia,29010
1992,Taiwan,Australia,63470
1992,Thailand,Australia,33560
1992,United Arab Emirates,Australia,1840
1992,United States of America,Australia,262850
1992,Vanuatu,Australia,3230
1992,Vietnam,Australia,4750
1993,Argentina,Australia,3870
1993,Austria,Australia,13150
1993,Bangladesh,Australia,700
1993,Belgium,Australia,5320
1993,Brazil,Australia,2670
1993,Cambodia,Australia,510
1993,Canada,Australia,50530
1993,Chile,Australia,1580
1993,China,Australia,22270
1993,Colombia,Australia,570
1993,Denmark,Australia,11580
1993,Fiji,Australia,17310
1993,Finland,Australia,4710
1993,France,Australia,31000
1993,Germany,Australia,105590
1993,Hong Kong,Australia,92010
1993,India,Australia,9770
1993,Indonesia,Australia,71550
1993,Iran,Australia,1120
1993,Ireland,Australia,11020
1993,Israel,Australia,5510
1993,Italy,Australia,31630
1993,Japan,Australia,670820
1993,Malaysia,Australia,80400
1993,Mexico,Australia,2070
1993,Nepal,Australia,340
1993,Netherlands,Australia,27490
1993,New Caledonia,Australia,18390
1993,New Zealand,Australia,499270
1993,Norway,Australia,4640
1993,Pakistan,Australia,1390
1993,Papua New Guinea,Australia,40430
1993,Philippines,Australia,17920
1993,Poland,Australia,2410
1993,Russian Federation,Australia,540
1993,Saudi Arabia,Australia,3410
1993,Singapore,Australia,154900
1993,South Africa,Australia,26420
1993,South Korea,Australia,62020
1993,Spain,Australia,5450
1993,Sri Lanka,Australia,3630
1993,Sweden,Australia,17600
1993,Switzerland,Australia,30550
1993,Taiwan,Australia,108720
1993,Thailand,Australia,46450
1993,United Arab Emirates,Australia,1950
1993,United States of America,Australia,281270
1993,Vanuatu,Australia,3220
1993,Vietnam,Australia,3320
1994,Argentina,Australia,5270
1994,Austria,Australia,15520
1994,Bangladesh,Australia,600
1994,Belgium,Australia,7000
1994,Brazil,Australia,3880
1994,Cambodia,Australia,550
1994,Canada,Australia,54280
1994,Chile,Australia,2040
1994,China,Australia,29690
1994,Colombia,Australia,810
1994,Denmark,Australia,14650
1994,Fiji,Australia,19490
1994,Finland,Australia,5540
1994,France,Australia,34520
1994,Germany,Australia,122690
