CAT_TRAVELLER,Category of traveller,Duration of stay,Reason for journey,TIME_PERIOD,OBS_VALUE
6,Short-term (less than one year) Visitors arriving,Total,Employment,1993-03,1910
6,Short-term (less than one year) Visitors arriving,Total,Employment,1993-04,1750
6,Short-term (less than one year) Visitors arriving,Total,Employment,1993-05,1560
6,Short-term (less than one year) Visitors arriving,Total,Employment,1993-06,1520
6,Short-term (less than one year) Visitors arriving,Total,Employment,1993-07,2160
6,Short-term (less than one year) Visitors arriving,Total,Employment,1993-08,2030
6,Short-term (less than one year) Visitors arriving,Total,Employment,1993-09,2320
6,Short-term (less than one year) Visitors arriving,Total,Employment,1993-10,2230
6,Short-term (less than one year) Visitors arriving,Total,Employment,1993-11,2060
6,Short-term (less than one year) Visitors arriving,Total,Employment,1993-12,2020
6,Short-term (less than one year) Visitors arriving,Total,Employment,1994-01,3570
6,Short-term (less than one year) Visitors arriving,Total,Employment,1994-02,2580
6,Short-term (less than one year) Visitors arriving,Total,Employment,1994-03,2410
6,Short-term (less than one year) Visitors arriving,Total,Employment,1994-04,3050
6,Short-term (less than one year) Visitors arriving,Total,Employment,1994-05,2100
6,Short-term (less than one year) Visitors arriving,Total,Employment,1994-06,1910
6,Short-term (less than one year) Visitors arriving,Total,Employment,1994-07,2850
6,Short-term (less than one year) Visitors arriving,Total,Employment,1994-08,2610
6,Short-term (less than one year) Visitors arriving,Total,Employment,1994-09,1380
6,Short-term (less than one year) Visitors arriving,Total,Employment,1994-10,1710
6,Short-term (less than one year) Visitors arriving,Total,Employment,1994-11,1500
6,Short-term (less than one year) Visitors arriving,Total,Employment,1994-12,1350
6,Short-term (less than one year) Visitors arriving,Total,Employment,1995-01,2350
6,Short-term (less than one year) Visitors arriving,Total,Employment,1995-02,1570
6,Short-term (less than one year) Visitors arriving,Total,Employment,1995-03,1890
6,Short-term (less than one year) Visitors arriving,Total,Employment,1995-04,1880
6,Short-term (less than one year) Visitors arriving,Total,Employment,1995-05,1670
6,Short-term (less than one year) Visitors arriving,Total,Employment,1995-06,1900
6,Short-term (less than one year) Visitors arriving,Total,Employment,1995-07,1860
6,Short-term (less than one year) Visitors arriving,Total,Employment,1995-08,1660
6,Short-term (less than one year) Visitors arriving,Total,Employment,1995-09,1750
6,Short-term (less than one year) Visitors arriving,Total,Employment,1995-10,1950
6,Short-term (less than one year) Visitors arriving,Total,Employment,1995-11,1650
6,Short-term (less than one year) Visitors arriving,Total,Employment,1995-12,1540
6,Short-term (less than one year) Visitors arriving,Total,Employment,1996-01,2650
6,Short-term (less than one year) Visitors arriving,Total,Employment,1996-02,1970
6,Short-term (less than one year) Visitors arriving,Total,Employment,1996-03,1990
6,Short-term (less than one year) Visitors arriving,Total,Employment,1996-04,2150
6,Short-term (less than one year) Visitors arriving,Total,Employment,1996-05,1360
6,Short-term (less than one year) Visitors arriving,Total,Employment,1996-06,1790
6,Short-term (less than one year) Visitors arriving,Total,Employment,1996-07,2250
6,Short-term (less than one year) Visitors arriving,Total,Employment,1996-08,1690
6,Short-term (less than one year) Visitors arriving,Total,Employment,1996-09,1720
6,Short-term (less than one year) Visitors arriving,Total,Employment,1996-10,2250
6,Short-term (less than one year) Visitors arriving,Total,Employment,1996-11,2060
6,Short-term (less than one year) Visitors arriving,Total,Employment,1996-12,1800
6,Short-term (less than one year) Visitors arriving,Total,Employment,1997-01,3210
6,Short-term (less than one year) Visitors arriving,Total,Employment,1997-02,1850
6,Short-term (less than one year) Visitors arriving,Total,Employment,1997-03,2310
6,Short-term (less than one year) Visitors arriving,Total,Employment,1997-04,2100
6,Short-term (less than one year) Visitors arriving,Total,Employment,1997-05,1710
6,Short-term (less than one year) Visitors arriving,Total,Employment,1997-06,2640
6,Short-term (less than one year) Visitors arriving,Total,Employment,1997-07,2430
6,Short-term (less than one year) Visitors arriving,Total,Employment,1997-08,2470
6,Short-term (less than one year) Visitors arriving,Total,Employment,1997-09,2390
6,Short-term (less than one year) Visitors arriving,Total,Employment,1997-10,2500
6,Short-term (less than one year) Visitors arriving,Total,Employment,1997-11,2850
6,Short-term (less than one year) Visitors arriving,Total,Employment,1997-12,2110
6,Short-term (less than one year) Visitors arriving,Total,Employment,1998-01,3030
6,Short-term (less than one year) Visitors arriving,Total,Employment,1998-02,2730
6,Short-term (less than one year) Visitors arriving,Total,Employment,1998-03,1900
6,Short-term (less than one year) Visitors arriving,Total,Employment,1998-04,2440
6,Short-term (less than one year) Visitors arriving,Total,Employment,1998-05,2340
6,Short-term (less than one year) Visitors arriving,Total,Employment,1998-06,1970
6,Short-term (less than one year) Visitors arriving,Total,Employment,1998-07,3480
6,Short-term (less than one year) Visitors arriving,Total,Employment,1998-08,3740
6,Short-term (less than one year) Visitors arriving,Total,Employment,1998-09,3280
6,Short-term (less than one year) Visitors arriving,Total,Employment,1998-10,3990
6,Short-term (less than one year) Visitors arriving,Total,Employment,1998-11,3610
6,Short-term (less than one year) Visitors arriving,Total,Employment,1998-12,3490
6,Short-term (less than one year) Visitors arriving,Total,Employment,1999-01,5300
6,Short-term (less than one year) Visitors arriving,Total,Employment,1999-02,3760
6,Short-term (less than one year) Visitors arriving,Total,Employment,1999-03,3420
6,Short-term (less than one year) Visitors arriving,Total,Employment,1999-04,3520
6,Short-term (less than one year) Visitors arriving,Total,Employment,1999-05,3030
6,Short-term (less than one year) Visitors arriving,Total,Employment,1999-06,3840
6,Short-term (less than one year) Visitors arriving,Total,Employment,1999-07,4200
6,Short-term (less than one year) Visitors arriving,Total,Employment,1999-08,3610
6,Short-term (less than one year) Visitors arriving,Total,Employment,1999-09,3670
6,Short-term (less than one year) Visitors arriving,Total,Employment,1999-10,3420
6,Short-term (less than one year) Visitors arriving,Total,Employment,1999-11,3870
6,Short-term (less than one year) Visitors arriving,Total,Employment,1999-12,2940
6,Short-term (less than one year) Visitors arriving,Total,Employment,2000-01,4720
6,Short-term (less than one year) Visitors arriving,Total,Employment,2000-02,3530
6,Short-term (less than one year) Visitors arriving,Total,Employment,2000-03,3750
6,Short-term (less than one year) Visitors arriving,Total,Employment,2000-04,3900
6,Short-term (less than one year) Visitors arriving,Total,Employment,2000-05,3490
6,Short-term (less than one year) Visitors arriving,Total,Employment,2000-06,3240
6,Short-term (less than one year) Visitors arriving,Total,Employment,2000-07,4530
6,Short-term (less than one year) Visitors arriving,Total,Employment,2000-08,5170
6,Short-term (less than one year) Visitors arriving,Total,Employment,2000-09,6420
6,Short-term (less than one year) Visitors arriving,Total,Employment,2000-10,4190
6,Short-term (less than one year) Visitors arriving,Total,Employment,2000-11,4120
6,Short-term (less than one year) Visitors arriving,Total,Employment,2000-12,3320
6,Short-term (less than one year) Visitors arriving,Total,Employment,2001-01,5540
6,Short-term (less than one year) Visitors arriving,Total,Employment,2001-02,4600
6,Short-term (less than one year) Visitors arriving,Total,Employment,2001-03,3890
6,Short-term (less than one year) Visitors arriving,Total,Employment,2001-04,3490
6,Short-term (less than one year) Visitors arriving,Total,Employment,2001-05,3240
6,Short-term (less than one year) Visitors arriving,Total,Employment,2001-06,3190
6,Short-term (less than one year) Visitors arriving,Total,Employment,2001-07,4900
6,Short-term (less than one year) Visitors arriving,Total,Employment,2001-08,4690
6,Short-term (less than one year) Visitors arriving,Total,Employment,2001-09,5530
